"run_id","trt","poiss_ds","fold_chg","eff_siz","trt_middleqi","trt_upperqi","nc_middleqi","nc_upperqi"
"SC17","cmp7624",46.86,153.56,2234.63,2245.68,2293.23,11.05,14.62
"SC10","cmp4670",15.09,14.63,260.3,275.02,291.79,14.72,18.8
"SC17","cmp7584",11.77,11.9,162.98,174.03,187.4,11.05,14.62
"SC12","poscon",11.55,3.73,222.88,292.94,310.24,70.06,78.63
"SC12","cmp7894",10.14,3.25,185.52,255.58,271.75,70.06,78.63
"SC7","cmp9477",9.93,13.09,114.61,121.04,132.23,6.43,9.25
"SC12","cmp943",9.87,3.17,178.87,248.94,264.89,70.06,78.63
"SC6","cmp3209",9.55,9.17,112.18,122.09,133.33,9.9,13.31
"SC9","poscon",9.25,5.56,119.41,139.79,151.81,20.39,25.13
"SC17","poscon",9.11,7.94,105.07,116.11,127.08,11.05,14.62
"SC18","cmp7135",8.62,13.23,86.3,90.75,100.47,4.45,6.86
"SC12","cmp206",8.55,2.76,147.15,217.21,232.13,70.06,78.63
"SC7","cmp6244",8.34,9.83,84.44,90.87,100.59,6.43,9.25
"SC18","cmp3210",7.98,11.64,75.4,79.85,88.98,4.45,6.86
"SC20","cmp7827",7.98,3.3,112.56,152.18,164.7,39.61,46.12
"SC12","cmp2857",7.73,2.53,128.85,198.91,213.2,70.06,78.63
"SC10","cmp846",7.51,5.09,80.88,95.6,105.57,14.72,18.8
"SC12","cmp3004",7.37,2.43,120.95,191.01,205.01,70.06,78.63
"SC12","cmp482",7.15,2.37,116.34,186.4,200.24,70.06,78.63
"SC16","poscon",6.99,4.78,71.68,85.61,95.06,13.93,17.9
"SC16","cmp8203",6.55,4.41,64.97,78.9,87.97,13.93,17.9
"SC12","cmp575",6.51,2.2,103.22,173.28,186.63,70.06,78.63
"SC12","cmp5297",6.44,2.19,101.85,171.91,185.21,70.06,78.63
"SC20","poscon",6.44,2.68,84.02,123.63,134.94,39.61,46.12
"SC18","poscon",6.43,8.22,51.95,56.4,64.11,4.45,6.86
"SC12","cmp5221",6.27,2.14,98.43,168.49,181.66,70.06,78.63
"SC17","cmp9301",6.26,4.7,57.72,68.76,77.26,11.05,14.62
"SC12","cmp8672",6.06,2.09,94.42,164.48,177.49,70.06,78.63
"SC15","poscon",6.03,6.93,47.53,52.57,60.03,5.04,7.58
"SC5","poscon",5.99,10.85,43.14,45.45,52.4,2.31,4.19
"SC20","cmp9630",5.94,2.5,75.46,115.07,125.99,39.61,46.12
"SC12","cmp6186",5.82,2.03,89.75,159.81,172.64,70.06,78.63
"SC7","poscon",5.82,5.73,46.54,52.97,60.45,6.43,9.25
"SC10","cmp677",5.8,3.71,54.97,69.69,78.23,14.72,18.8
"SC12","cmp9675",5.72,2.01,87.83,157.9,170.65,70.06,78.63
"SC12","cmp5976",5.65,1.99,86.66,156.72,169.43,70.06,78.63
"SC20","cmp6963",5.65,2.39,70.66,110.27,120.97,39.61,46.12
"SC10","poscon",5.56,3.53,51.69,66.41,74.76,14.72,18.8
"SC17","cmp2665",5.54,4.03,47.9,58.95,66.83,11.05,14.62
"SC2","poscon",5.43,5.5,40.91,46.71,53.75,5.8,8.49
"SC10","cmp728",5.41,3.42,49.6,64.32,72.54,14.72,18.8
"SC7","cmp4515",5.41,5.18,41.47,47.91,55.03,6.43,9.25
"SC4","poscon",5.36,4.93,41.35,48.24,55.39,6.89,9.78
"SC10","cmp9382",5.29,3.35,48.16,62.88,71.01,14.72,18.8
