"run_id","plate_id","trt","poiss_zp","nc_lambdahat","nc_upperqi","pc_lambdahat","pc_lowerqi"
1,1,"poscon",0.07,5.15,12.64,29.94,14.35
1,2,"poscon",0.07,4.28,11.16,27.62,12.7
1,3,"poscon",0.22,3.69,10.11,32.9,16.51
1,4,"poscon",0.13,4.58,11.68,31.1,15.19
1,5,"poscon",0.1,4.3,11.18,28.92,13.62
1,6,"poscon",-0.02,3.72,10.16,23.56,9.85
1,7,"poscon",0.07,5.37,13.01,30.66,14.87
1,8,"poscon",0.06,4.64,11.78,28.33,13.2
1,9,"poscon",0.01,4.19,10.99,25.4,11.13
1,10,"poscon",0.34,4.75,11.97,44.53,25.29
1,11,"poscon",0.1,4.49,11.52,29.59,14.1
1,12,"poscon",0.2,3.89,10.46,32.61,16.3
1,13,"poscon",0.09,4.59,11.7,29.54,14.06
1,14,"poscon",0.1,4.34,11.26,29.21,13.83
1,15,"poscon",-0.21,3.43,9.71,18.54,6.52
1,16,"poscon",0.01,4.41,11.37,26.01,11.56
1,17,"poscon",0.04,3.58,9.94,25.01,10.86
1,18,"poscon",-0.05,4.31,11.21,23.98,10.15
1,19,"poscon",0.03,4.62,11.74,27.36,12.51
1,20,"poscon",0.11,5.02,12.42,31.29,15.33
1,21,"poscon",0.05,4.46,11.46,27.66,12.72
1,22,"poscon",0.17,5.15,12.64,34.59,17.76
1,23,"poscon",0.08,4.16,10.94,27.79,12.81
1,24,"poscon",0.08,5.08,12.51,30.12,14.49
1,25,"poscon",0.17,5.2,12.72,34.63,17.79
1,26,"poscon",0.03,3.81,10.33,25.04,10.88
1,27,"poscon",0.08,4.1,10.84,27.83,12.84
1,28,"poscon",0.08,4.06,10.77,27.43,12.56
1,29,"poscon",0.15,4.51,11.56,31.62,15.58
1,30,"poscon",0.25,5.22,12.76,39.27,21.26
1,31,"poscon",-0.04,4.04,10.74,23.65,10
1,32,"poscon",0.1,4.11,10.86,28.38,13.24
1,33,"poscon",-0.13,3.38,9.63,19.92,7.41
1,34,"poscon",0,3.56,9.92,23.65,10
1,35,"poscon",0.07,4.94,12.29,29.47,14.02
1,36,"poscon",0.28,3.6,9.97,36.15,19
1,37,"poscon",0.17,4.06,10.76,31.26,15.31
1,38,"poscon",0.06,4.97,12.33,29.27,13.87
1,39,"poscon",0.23,4.4,11.37,35.47,18.41
1,40,"poscon",0.19,3.72,10.16,31.44,15.44
1,41,"poscon",0.08,4.1,10.83,27.77,12.8
1,42,"poscon",0.05,4.52,11.56,27.82,12.84
1,43,"poscon",0.13,5.94,13.94,34.67,17.82
1,44,"poscon",0.17,4.58,11.67,33.09,16.65
1,45,"poscon",0.02,5.05,12.48,28.12,13.05
1,46,"poscon",0.08,4.23,11.07,28.21,13.11
1,47,"poscon",0.08,4.44,11.43,28.7,13.47
1,48,"poscon",0.12,5.43,13.1,32.78,16.43
1,49,"poscon",0.08,3.43,9.73,25.92,11.49
1,50,"poscon",0.19,4.11,10.85,32.31,16.08
1,51,"poscon",0.13,4.34,11.26,30.28,14.6
1,52,"poscon",0.17,4.91,12.23,33.92,17.26
1,53,"poscon",0.08,4.09,10.82,27.62,12.69
1,54,"poscon",0.2,5.14,12.62,36.08,18.87
1,55,"poscon",0.54,4.46,11.47,73.32,48.35
1,56,"poscon",-0.02,3.96,10.59,23.99,10.15
1,57,"poscon",0.12,4.49,11.52,30.15,14.5
1,58,"poscon",0.07,3.88,10.45,26.87,12.16
1,59,"poscon",0.09,4.77,11.99,29.92,14.34
1,60,"poscon",0.07,5.45,13.14,30.72,15
1,61,"poscon",0.1,5.36,12.99,31.53,15.51
1,62,"poscon",0.01,4.12,10.88,25.47,11.18
1,63,"poscon",0.07,5.63,13.44,30.97,15.1
1,64,"poscon",-0.07,4.22,11.05,23.38,9.73
1,65,"poscon",0.5,5.07,12.5,67.89,44
1,66,"poscon",0.72,4.8,12.05,168.39,130.06
1,67,"poscon",0.08,4.82,12.08,29.41,14
1,68,"poscon",0.14,4.92,12.26,32.06,16
1,69,"poscon",0.21,3.52,9.86,31.81,15.71
1,70,"poscon",0.07,3.96,10.59,26.84,12.14
1,71,"poscon",0.4,4.91,12.23,52.32,31.38
1,72,"poscon",0.01,3.43,9.72,23.61,9.89
1,73,"poscon",0.28,3.72,10.17,36.72,19.34
1,74,"poscon",0.24,4.48,11.51,36.28,19.02
1,75,"poscon",0.07,3.51,9.84,25.65,11.3
1,76,"poscon",0.11,5.66,13.48,32.72,16.38
1,77,"poscon",0.04,3.96,10.59,26,11.55
1,78,"poscon",0.06,4.42,11.4,27.67,12.73
1,79,"poscon",0.14,3.17,9.19,27.68,12.74
1,80,"poscon",0.08,3.44,9.74,25.84,11.44
1,81,"poscon",0.03,5.3,12.89,28.81,13.54
1,82,"poscon",0.08,5.56,13.32,31.34,15.37
1,83,"poscon",0.03,5.06,12.49,28.21,13.12
1,84,"poscon",0.1,4.45,11.45,29.2,13.82
