"run_id","trt","poiss_ds","fold_chg","eff_siz","trt_middleqi","trt_upperqi","nc_middleqi","nc_upperqi"
1,"cmp29981",19.81,68.83,407.74,411.47,431.93,3.73,5.98
1,"cmp9531",6.84,10.11,56.72,60.45,68.43,3.73,5.98
1,"cmp2666",6.78,9.95,55.77,59.5,67.42,3.73,5.98
1,"cmp24704",6.76,9.92,55.55,59.28,67.18,3.73,5.98
1,"cmp10652",6.68,9.72,54.39,58.12,65.95,3.73,5.98
1,"cmp24604",5.93,8.06,44.45,48.18,55.33,3.73,5.98
1,"cmp25873",5.89,7.97,43.89,47.62,54.73,3.73,5.98
1,"cmp191",5.72,7.63,41.86,45.59,52.55,3.73,5.98
1,"cmp19912",5.62,7.41,40.57,44.3,51.16,3.73,5.98
1,"cmp9152",5.46,7.1,38.69,42.42,49.14,3.73,5.98
1,"cmp16934",5.46,7.09,38.67,42.4,49.12,3.73,5.98
1,"cmp26651",5.39,6.96,37.88,41.61,48.27,3.73,5.98
1,"cmp13826",5.37,6.92,37.64,41.37,48.02,3.73,5.98
1,"cmp13074",5.36,6.9,37.51,41.24,47.87,3.73,5.98
1,"cmp2134",5.32,6.83,37.1,40.83,47.43,3.73,5.98
1,"cmp18113",5.29,6.77,36.72,40.45,47.02,3.73,5.98
1,"cmp23488",5.24,6.68,36.21,39.94,46.47,3.73,5.98
1,"cmp8790",5.09,6.4,34.53,38.26,44.66,3.73,5.98
1,"cmp27470",5.09,6.4,34.53,38.26,44.66,3.73,5.98
1,"cmp27913",5.07,6.35,34.24,37.97,44.34,3.73,5.98
1,"cmp8072",5.03,6.29,33.88,37.61,43.96,3.73,5.98
1,"cmp5157",4.95,6.14,32.97,36.7,42.97,3.73,5.98
1,"cmp19671",4.95,6.14,32.98,36.71,42.98,3.73,5.98
1,"cmp30327",4.92,6.08,32.61,36.34,42.58,3.73,5.98
1,"cmp2303",4.87,6,32.16,35.89,42.09,3.73,5.98
1,"cmp29170",4.87,5.99,32.1,35.83,42.03,3.73,5.98
1,"cmp1115",4.84,5.95,31.84,35.57,41.75,3.73,5.98
1,"cmp5227",4.83,5.93,31.69,35.42,41.59,3.73,5.98
1,"cmp19430",4.8,5.88,31.42,35.15,41.29,3.73,5.98
1,"cmp26182",4.78,5.84,31.21,34.94,41.06,3.73,5.98
1,"cmp31586",4.77,5.81,31.03,34.76,40.87,3.73,5.98
1,"cmp28156",4.74,5.77,30.78,34.51,40.6,3.73,5.98
1,"cmp19902",4.72,5.73,30.51,34.24,40.3,3.73,5.98
1,"cmp26257",4.72,5.73,30.55,34.28,40.35,3.73,5.98
1,"cmp23677",4.62,5.56,29.48,33.21,39.19,3.73,5.98
1,"cmp8228",4.61,5.54,29.4,33.13,39.1,3.73,5.98
1,"cmp11904",4.61,5.54,29.38,33.11,39.08,3.73,5.98
1,"cmp19211",4.6,5.52,29.29,33.02,38.99,3.73,5.98
1,"cmp4462",4.59,5.5,29.17,32.9,38.85,3.73,5.98
1,"cmp15981",4.59,5.52,29.27,33,38.96,3.73,5.98
1,"cmp3743",4.57,5.48,29.05,32.78,38.72,3.73,5.98
1,"cmp14315",4.57,5.48,29.05,32.78,38.72,3.73,5.98
1,"cmp28855",4.56,5.46,28.92,32.65,38.58,3.73,5.98
1,"cmp18373",4.54,5.44,28.76,32.49,38.41,3.73,5.98
1,"cmp27279",4.54,5.43,28.76,32.49,38.4,3.73,5.98
1,"cmp26768",4.52,5.4,28.57,32.3,38.19,3.73,5.98
1,"cmp25156",4.46,5.29,27.89,31.62,37.46,3.73,5.98
1,"poscon",4.42,5.22,27.49,31.22,37.03,3.73,5.98
1,"cmp7136",4.41,5.21,27.4,31.13,36.92,3.73,5.98
1,"cmp15300",4.36,5.13,26.92,30.65,36.41,3.73,5.98
1,"cmp28245",4.36,5.13,26.93,30.66,36.42,3.73,5.98
1,"cmp5926",4.32,5.07,26.55,30.28,36.01,3.73,5.98
1,"cmp28617",4.32,5.06,26.51,30.24,35.96,3.73,5.98
1,"cmp1373",4.3,5.03,26.35,30.08,35.79,3.73,5.98
1,"cmp11586",4.29,5.03,26.31,30.04,35.74,3.73,5.98
1,"cmp23184",4.27,4.99,26.12,29.85,35.53,3.73,5.98
1,"cmp28195",4.27,4.98,26.06,29.79,35.47,3.73,5.98
1,"cmp24557",4.26,4.98,26.02,29.75,35.42,3.73,5.98
1,"cmp6141",4.2,4.88,25.42,29.15,34.77,3.73,5.98
1,"cmp3152",4.17,4.83,25.16,28.89,34.48,3.73,5.98
1,"cmp19471",4.14,4.78,24.87,28.6,34.17,3.73,5.98
1,"cmp3588",4.13,4.77,24.76,28.49,34.05,3.73,5.98
1,"cmp11959",4.12,4.75,24.68,28.41,33.96,3.73,5.98
1,"cmp30960",4.1,4.71,24.45,28.18,33.71,3.73,5.98
1,"cmp12446",4.09,4.7,24.37,28.1,33.63,3.73,5.98
1,"cmp30405",4.09,4.7,24.35,28.08,33.6,3.73,5.98
1,"cmp316",4.08,4.68,24.26,27.99,33.5,3.73,5.98
1,"cmp2056",4.04,4.63,23.96,27.69,33.17,3.73,5.98
1,"cmp5399",4.03,4.61,23.8,27.53,33,3.73,5.98
1,"cmp372",4,4.57,23.57,27.3,32.75,3.73,5.98
1,"cmp16538",3.97,4.52,23.28,27.01,32.43,3.73,5.98
1,"cmp18275",3.96,4.51,23.24,26.97,32.39,3.73,5.98
1,"cmp26825",3.87,4.37,22.42,26.15,31.49,3.73,5.98
1,"cmp29522",3.87,4.38,22.43,26.16,31.5,3.73,5.98
1,"cmp7038",3.86,4.35,22.28,26.01,31.34,3.73,5.98
1,"cmp7123",3.83,4.31,22.04,25.77,31.07,3.73,5.98
1,"cmp30582",3.81,4.28,21.88,25.61,30.9,3.73,5.98
1,"cmp29476",3.8,4.27,21.78,25.51,30.78,3.73,5.98
1,"cmp12979",3.78,4.24,21.6,25.33,30.59,3.73,5.98
1,"cmp15641",3.78,4.24,21.59,25.32,30.58,3.73,5.98
1,"cmp24548",3.72,4.15,21.08,24.81,30.01,3.73,5.98
1,"cmp13160",3.71,4.13,20.99,24.72,29.91,3.73,5.98
1,"cmp6049",3.68,4.09,20.71,24.44,29.61,3.73,5.98
1,"cmp22039",3.68,4.1,20.78,24.51,29.68,3.73,5.98
1,"cmp2649",3.68,4.1,20.77,24.5,29.67,3.73,5.98
1,"cmp15111",3.66,4.07,20.62,24.35,29.51,3.73,5.98
1,"cmp16480",3.66,4.07,20.58,24.31,29.46,3.73,5.98
1,"cmp8391",3.65,4.05,20.46,24.19,29.33,3.73,5.98
1,"cmp14738",3.63,4.03,20.35,24.08,29.22,3.73,5.98
1,"cmp31059",3.62,4.01,20.23,23.96,29.08,3.73,5.98
1,"cmp17235",3.6,3.98,20.08,23.81,28.91,3.73,5.98
1,"cmp19237",3.6,3.98,20.09,23.82,28.93,3.73,5.98
1,"cmp4856",3.58,3.95,19.9,23.63,28.71,3.73,5.98
1,"cmp8841",3.58,3.95,19.88,23.61,28.7,3.73,5.98
1,"cmp19457",3.54,3.91,19.62,23.35,28.41,3.73,5.98
1,"cmp10017",3.53,3.89,19.5,23.23,28.27,3.73,5.98
1,"cmp28142",3.53,3.89,19.51,23.24,28.29,3.73,5.98
1,"cmp6281",3.51,3.86,19.36,23.09,28.12,3.73,5.98
1,"cmp1437",3.51,3.86,19.32,23.05,28.08,3.73,5.98
1,"cmp3811",3.5,3.84,19.25,22.98,28,3.73,5.98
1,"cmp461",3.5,3.84,19.24,22.97,27.99,3.73,5.98
1,"cmp30930",3.48,3.81,19.07,22.8,27.8,3.73,5.98
